"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"52fbd13d-ec13-4aee-aab4-d2925a944361",34,"H","M",7724,16993,"N","M",1,"P","S","FSS","L","BTS","N",621,28,33,"H",10,61,1,"N"
"f1781fa8-66f9-4421-bbca-222f047b8ee7",39,"P","M",9441,23603,"Y","O",6,"C","M","FSS","M","PSP","Y",0,12,35,"H",0,73,0,"N"
"3ffed759-5ae9-4ab4-a71b-37ea068f494b",45,"M","M",17627,31729,"Y","M",8,"C","S","RET","H","AMPB","Y",1418,3,29,"M",10,70,1,"N"
"d8ca2ad1-3f83-40cf-a36d-7f7854ccebe8",21,"B","F",4479,8958,"N","M",4,"C","P","CON","L","SUN","N",515,26,23,"H",10,47,1,"N"
"b1bb4ad8-8430-4ae6-837c-3476e5bab95d",20,"D","F",5398,5398,"N","S",1,"C","P","TNT","L","DBL","N",540,28,40,"H",10,98,1,"N"
"3219c7d7-af06-4ade-a4e8-229482500ade",45,"M","F",10062,18112,"Y","O",5,"P","P","HAC","M","PSP","Y",503,12,6,"H",10,76,1,"N"
"6a7d07ae-a462-4d47-82f9-6429c340eaa1",50,"D","M",12685,12685,"Y","S",1,"P","P","RET","M","BQL","Y",2537,9,14,"L",10,93,1,"Y"
"ff363cde-b40b-4de3-9df5-8a373792a3b8",48,"B","F",19070,19070,"N","S",1,"P","S","FSS","H","HSB","Y",3814,19,38,"L",10,14,1,"Y"
"a7046dff-b023-4816-b98b-2028bb1f21a1",26,"B","F",5221,10442,"N","S",8,"P","S","MAN","L","IOOF","Y",0,7,6,"H",50,68,0,"N"
"b9a13168-1188-45fe-ba2b-aaa1a4ff7f21",43,"P","F",19344,48360,"Y","M",5,"C","S","HAC","M","STG","Y",4449,14,4,"L",10,73,1,"Y"
