"C_ID","C_TotalVoluntarySuperContribution","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_SalarySacrifice","C_FinancialLiteracy","C_PersonalFinancialAdvice","App_SatisfactionRating","App_Tenure","App_AverageDailySessionTime","App_ShowTutorial"
"2b2a0aac-fba4-4e0a-a525-887500c473d3",3142,58,"P","M",15712,"Y","O",6,"P","Y","H","Y","H",15,22,"Y"
"58d08a27-9edb-4d2d-912c-7c2bf97f95a3",2868,59,"M","M",14340,"Y","O",2,"P","Y","H","Y","H",24,24,"Y"
"f624246d-d62f-42cd-8980-ea10b477c747",210,20,"P","M",2098,"Y","S",5,"C","Y","L","N","H",25,52,"N"
"778093be-995e-4698-965d-bc88633aef51",158,24,"P","M",4357,"N","S",1,"P","N","L","N","L",4,55,"N"
"28ed8659-9014-48af-bd4c-7f7d50cda849",454,36,"B","F",6145,"Y","S",3,"C","N","L","N","L",7,5,"N"
"eef24b21-f0da-4838-8a6f-b945d0a5ca68",1403,44,"M","M",7013,"N","M",3,"P","N","M","Y","H",20,18,"Y"
"ab372c9c-45bc-45dc-85be-4bab6a090654",413,24,"B","F",5699,"N","S",1,"C","Y","L","N","H",19,42,"N"
"7f6a3ecb-5e60-40df-8a3a-4b1b8ed2df8d",791,40,"B","F",12673,"Y","S",1,"P","Y","L","N","L",28,10,"N"
"1089951a-a481-4cd7-9e46-14b40ea87f31",251,29,"D","F",4461,"Y","O",3,"C","N","L","N","L",29,25,"N"
"9868ed62-3f43-46d3-95af-0912c105707b",1653,60,"B","M",9796,"Y","O",3,"P","N","M","N","L",18,22,"N"
"24209a98-2862-41fa-98a2-1edbe0d963fc",235,21,"D","M",4537,"Y","S",4,"C","N","L","N","L",6,37,"N"
"857eb808-ae60-428a-a268-504d9c812785",604,42,"D","F",9799,"Y","O",4,"P","Y","L","N","L",14,17,"N"
"5083a9db-9a23-446f-81b8-98df937337ec",1328,40,"D","M",13215,"Y","M",4,"C","N","M","N","L",26,50,"N"
"31d3bcad-90ff-438d-9161-4681d6c21e67",3001,57,"D","F",15007,"Y","S",1,"P","Y","H","Y","H",21,7,"Y"
"9a12c059-9eff-41ed-8071-3eb3da3cf15c",473,33,"B","F",6233,"N","S",5,"P","Y","L","N","L",2,7,"N"
"c0032d24-2eca-478f-8163-53dabca1a1f0",46,25,"D","M",4136,"N","S",3,"P","N","M","N","L",20,58,"N"
"0c42c22c-3a77-4a07-8af9-551d6bdd3203",294,21,"D","M",4363,"Y","M",3,"C","N","L","N","L",30,29,"N"
"06377b9f-eb59-4ae7-8a2d-5ad293840d1f",1042,60,"H","M",5208,"N","M",6,"P","Y","H","N","H",15,57,"Y"
"936bdf93-9c45-48b0-b573-509788ae4a9d",480,38,"B","M",7588,"N","O",5,"P","Y","L","N","L",29,14,"N"
"2810967c-a7c3-4a04-bafb-a7fb1d33b899",383,34,"B","F",5865,"Y","S",1,"C","N","L","N","L",5,39,"N"
"3cb3b310-06c1-4b2f-b2cd-15340d0a4279",1932,47,"H","F",9658,"Y","O",8,"P","N","H","Y","H",28,7,"Y"
"fd40a9b7-21b1-4b9d-bd62-52ef43b65e0e",2322,52,"B","F",11610,"N","O",4,"P","Y","M","Y","H",12,31,"Y"
"1fe3ae68-6792-46c0-9d7a-a39ceb83d85b",111,22,"H","M",5077,"Y","O",7,"C","N","L","Y","L",10,59,"N"
"8ab87d85-97be-4b4e-b793-8788d0a94375",57,48,"B","F",9656,"Y","S",1,"C","N","L","N","L",23,39,"N"
"c947bab4-2e17-4fe6-8ae5-4e367617cf46",2246,44,"B","M",11232,"Y","S",1,"P","Y","M","Y","L",19,47,"Y"
"e24b1694-27c1-4e67-9336-6b38aaeb9483",902,31,"M","F",5848,"Y","M",5,"C","N","L","N","L",14,9,"N"
"e4a759cb-6ee4-4a64-978f-539d851c8e07",2619,50,"H","F",13094,"Y","O",6,"P","Y","H","Y","H",6,8,"Y"
"fe267b5c-946d-4152-abbd-413860ae9f39",844,37,"D","F",4266,"Y","S",1,"C","N","M","N","H",28,53,"N"
"ad12b477-edf9-4ac6-8039-4bb3a3ef82e1",78,27,"H","M",3298,"N","S",8,"P","N","L","N","H",27,60,"N"
"c678b369-128f-4ebe-ab1e-b1b56a1c46a1",2653,57,"D","M",13263,"Y","O",3,"C","Y","M","Y","H",14,59,"Y"
"6923c1a8-3e45-49a9-beb1-9a52872171b3",597,31,"M","M",5534,"N","M",8,"C","N","L","N","L",18,25,"N"
"0299fcc6-218a-4031-b61c-db88d24b5f4a",1102,57,"D","M",5508,"Y","O",6,"P","Y","H","N","H",15,39,"Y"
"e79e9f68-ec2d-42d6-a759-f4c51f101bd3",398,28,"D","M",1990,"Y","S",1,"C","Y","L","N","H",16,19,"N"
"b8170352-eb6c-4c1e-80a5-d65c982d05e6",97,34,"M","M",7588,"N","S",7,"P","N","M","Y","H",26,25,"N"
"f9dd64c5-8f0a-43a6-8c3e-0baa2f0dce10",52,31,"B","M",4165,"N","S",2,"C","N","M","N","H",16,37,"N"
"8197b981-0267-4fbe-a440-3783017d0d7f",1795,59,"B","F",8974,"Y","O",3,"C","Y","H","Y","H",27,20,"Y"
"2de8f542-19bb-434c-8999-0ce5aba72ed3",121,25,"B","F",3384,"N","S",1,"C","N","L","N","L",30,21,"N"
"7d944d0a-7acc-4708-9e2b-fd81683df45c",2760,55,"B","F",13798,"Y","S",1,"P","Y","H","Y","H",6,46,"Y"
"42e7ae90-7246-49ea-b696-56f4089097f5",3189,46,"M","M",15945,"Y","M",5,"P","Y","H","Y","H",26,56,"Y"
"d85d7839-9d0b-4f48-a05d-92fc0577120d",308,20,"M","F",3477,"N","M",1,"C","Y","L","N","L",23,51,"N"
"f3179156-1cd3-4a68-a8ca-aeff5dbbb0a7",2191,52,"H","M",10957,"Y","O",2,"P","Y","M","Y","H",8,54,"Y"
"f9a21015-1fc1-45f0-b6a7-fa131a986f14",2043,51,"H","F",10216,"Y","O",2,"P","N","M","Y","H",25,2,"Y"
"b1d4c5e8-4d57-4ab8-b6dd-6eb369583485",578,29,"P","M",4224,"N","O",8,"C","Y","L","N","H",8,5,"N"
"3f86a4e5-f6d8-4391-a833-bf9f1808fdf9",273,28,"P","F",3948,"N","S",1,"C","Y","L","N","L",29,10,"N"
"567e75e0-1c51-4801-aadd-362c99dc2617",1770,52,"H","M",8851,"Y","S",1,"C","Y","H","Y","H",15,36,"Y"
"842e894a-0aa7-48ae-b5f7-47a42f90ceef",137,20,"M","F",3079,"N","S",4,"P","Y","L","N","L",10,24,"N"
"ad802b54-9e46-4171-8236-ced55ff01abc",795,31,"M","M",5927,"N","S",1,"C","Y","L","N","H",4,34,"N"
"a54c1513-3efa-488f-ad35-b09a78e39155",1364,40,"B","M",10923,"Y","S",1,"C","N","M","N","H",9,59,"N"
